T9J	T9J
T9J	T2W
T60	T60
T60	TE4
T60	TBK
T7S	T7S
T7S	TFU
T7S	TDA
T7S	T8C
T7S	TR
T7S	T3G
T4A	T4A
T8Q	T8Q
T8Q	T3T
T9M	T9M
T9M	T2Z
TBF	TBF
TBG	TBG
T7M	T7M
T7M	TFO
T7M	TD4
T8I	T8I
TAA	TAA
TAA	T6V
TAA	TEZ
TAA	T1O
TAA	T4E
TAA	TCF
T7N	T7N
T7N	TFP
T7N	TD5
T9F	T9F
T9F	T2Q
T9F	T2S
T9F	T88
T9F	T89
T9F	TA
T9F	T8A
T9F	TC
T9F	T9D
T9F	TN
T9F	TO
T9F	T3C
T9F	TP
T9F	T3D
T9F	T3E
TAB	TAB
TAB	T1P
TAB	T4F
TAB	T5M
TAB	TDP
TAB	TB3
T6S	T6S
T6S	TEW
T6S	TCC
T5Y	T5Y
T5Y	TE2
T5Y	TBI
T6U	T6U
T6U	TEY
T6U	TCE
T1	T1
T1	T5J
T1	T15
T1	T95
T1	TDM
T1	T3W
T1	TB0
T1	T2I
T1	T8T
T1T	T1T
T1T	T1U
T1T	T1V
T1T	T4J
T1T	T1W
T1T	T4K
T1T	T4L
T1T	T4M
T1T	TAF
T1T	TAG
T1T	TAH
T1T	TAI
T2P	T2P
T2P	T2R
T2P	T2T
T2P	T2U
T2P	T9
T2P	TB
T2P	T8B
T2P	TD
T2P	TE
T2P	TF
T2P	T9C
T2P	T9E
T2P	T9G
T2P	T9H
T2P	TQ
T2P	T3F
T3L	T3L
T3L	T8H
T3L	TDX
T3L	TBB
T3L	TW
T4H	T4H
T4H	TAD
T4H	T1R
T5D	T5D
T5D	T5E
T5D	T5G
T5D	T5H
T5D	TA0
T5D	TA1
T5D	TA3
T5D	TA4
T5D	T2D
T5D	T2E
T5D	T2G
T5D	T2H
T69	T69
T69	T6A
T69	T6C
T69	T6D
T69	TED
T69	TEE
T69	TEG
T69	TBT
T69	TEH
T69	TBU
T69	TBW
T69	TBX
T75	T75
T75	TF9
